Id,Name,2025-07-01 11:11:41,2025-07-02 11:00:26,2025-07-03 11:01:04,2025-07-04 11:00:28,2025-07-08 11:01:41,2025-07-09 11:02:38,2025-07-10 11:02:34,2025-07-11 11:05:21,2025-07-12 11:06:07,2025-07-13 11:20:17,2025-07-14 11:09:52,2025-07-15 11:09:55
11876290,AMD 라이젠3 PRO 4350G (르누아르),0,0,0,0,0,"_멀티팩 정품_194,000|_해외구매_315,300|중고_84,420","_멀티팩 정품_194,000|_해외구매_315,300|중고_84,420","_멀티팩 정품_194,000|_해외구매_315,300|중고_89,110","_멀티팩 정품_194,000|_해외구매_315,300|중고_86,290","_멀티팩 정품_194,000|_해외구매_315,300|중고_86,290","_멀티팩 정품_194,000|_해외구매_315,300|중고_86,290","_멀티팩 정품_194,000|_해외구매_315,300|중고_85,350"
5565689,AMD 라이젠3-1세대 1300X (서밋 릿지),0,0,0,0,0,"해외구매_34,640","해외구매_34,640","해외구매_34,640","해외구매_34,640","해외구매_34,640","해외구매_34,640","해외구매_34,640"
11022333,AMD 라이젠3-1세대 2200G (레이븐 릿지),0,0,0,0,0,"_해외구매_52,650|_중고_29,900","_해외구매_52,650|_중고_29,900","_해외구매_55,570|_중고_29,730","_해외구매_53,820|_중고_31,600","_해외구매_53,820|_중고_31,480","_해외구매_53,820|_중고_31,360","_해외구매_53,230|_중고_31,350"
12401438,AMD 라이젠3-2세대 3200G (피카소),0,0,0,0,0,"_멀티팩 정품_79,980|정품_81,810|_해외구매_73,320|중고_61,920","_멀티팩 정품_79,980|정품_81,810|_해외구매_73,320|중고_61,920","_멀티팩 정품_82,050|정품_86,350|_해외구매_77,390|중고_65,360","_멀티팩 정품_82,050|정품_83,620|_해외구매_74,950|중고_63,290","_멀티팩 정품_82,050|정품_83,620|_해외구매_74,950|중고_63,290","_멀티팩 정품_82,050|정품_83,620|_해외구매_74,950|중고_63,290","_멀티팩 정품_82,050|정품_82,710|_해외구매_74,130|중고_62,600"
12200864,AMD 라이젠3-3세대 3100 (마티스),0,0,0,0,0,"해외구매_56,700","해외구매_56,700","해외구매_58,860","해외구매_57,860","해외구매_57,860","해외구매_57,860","해외구매_57,230"
12625094,AMD 라이젠3-3세대 3300X (마티스),0,0,0,0,0,"_멀티팩 정품_270,000|_해외구매_91,390|중고_44,900","_멀티팩 정품_270,000|_해외구매_91,390|중고_44,900","_멀티팩 정품_270,000|_해외구매_91,390|중고_45,500","_멀티팩 정품_270,000|_해외구매_91,390|중고_44,900","_멀티팩 정품_270,000|_해외구매_91,390|중고_44,900","_멀티팩 정품_270,000|_해외구매_91,390|중고_44,900","_멀티팩 정품_270,000|_해외구매_91,390|중고_44,900"
70254251,AMD 라이젠3-4세대 5300G (세잔),0,0,0,0,0,"멀티팩 정품_111,000","멀티팩 정품_111,000","멀티팩 정품_111,000","멀티팩 정품_114,990","멀티팩 정품_114,990","멀티팩 정품_115,000","멀티팩 정품_115,000"
11876443,AMD 라이젠5 PRO 4650G (르누아르),0,0,0,0,0,"_멀티팩 정품_348,000|_해외구매_142,240","_멀티팩 정품_348,000|_해외구매_142,240","_멀티팩 정품_348,000|_해외구매_144,620","_멀티팩 정품_348,000|_해외구매_142,240","_멀티팩 정품_348,000|_해외구매_142,240","_멀티팩 정품_348,000|_해외구매_142,240","_멀티팩 정품_348,000|_해외구매_142,240"
29658575,AMD 라이젠5 PRO 7645 (라파엘),0,0,0,0,0,"멀티팩 정품_349,470","멀티팩 정품_349,470","멀티팩 정품_349,470","멀티팩 정품_349,470","멀티팩 정품_349,470","멀티팩 정품_349,470","멀티팩 정품_349,470"
5401751,AMD 라이젠5-1세대 1400 (서밋 릿지),0,0,0,0,0,"_해외구매_29,100|_중고_25,920","_해외구매_29,100|_중고_25,920","_해외구매_30,290|_중고_26,790","_해외구매_27,690|_중고_26,490","_해외구매_27,690|_중고_26,490","_해외구매_27,690|_중고_26,490","_해외구매_27,390|_중고_26,200"
