Id,Name,2026-06-01 14:09:43,2026-06-02 13:48:01,2026-06-03 14:05:19,2026-06-04 14:01:51,2026-06-05 13:36:05,2026-06-06 13:18:24,2026-06-07 13:44:45,2026-06-08 13:50:12,2026-06-09 13:18:14
79556477,AULA F75 MAX 유무선 기계식 올리비아 화이트,0,0,"_저소음 바다축_74,000|_경해축_79,000|세이야축_69,000",0,0,0,0,0,0
34337150,AULA F75 유무선 기계식,"해외구매_47,310","해외구매_47,310",0,0,0,0,"해외구매_49,800",0,"해외구매_49,800"
98412419,AULA F87 Pro V2 유무선 기계식 해외구매,"_옵션선택구성_38,850|_경우축_63,900|그린축_50,900|유성 아이스크림축_73,390|유성축_66,490||","_옵션선택구성_38,850|_경우축_63,900|그린축_45,560|유성 아이스크림축_72,450|유성축_66,490||","_옵션선택구성_38,540|_경우축_63,900|유성 아이스크림축_73,390|유성축_65,960|카라멜 라떼축_49,820|","_옵션선택구성_38,540|_경우축_62,820|그린축_50,900|유성 아이스크림축_75,090|유성축_65,330||","_옵션선택구성_38,540|_경우축_62,820|그린축_50,900|유성 아이스크림축_75,090|유성축_65,260||","_옵션선택구성_39,260|_경우축_60,700|그린축_50,900|유성 아이스크림축_75,090|유성축_65,260||","_옵션선택구성_38,540|_경우축_62,820|그린축_50,900|유성 아이스크림축_75,090|유성축_65,260||","_옵션선택구성_38,530|_경우축_62,820|그린축_50,900|유성 아이스크림축_73,500|유성축_65,260||","_옵션선택구성_38,530|_경우축_62,820|그린축_50,900|유성 아이스크림축_75,690|유성축_66,490||"
63466976,AULA F87 Pro 기계식 다크 올리비아 한글,"_세이야축_41,800|_저소음 바다축_47,000","_세이야축_41,800|_저소음 바다축_47,000","_세이야축_42,800|_저소음 바다축_48,000","_세이야축_42,800|_저소음 바다축_48,000","_세이야축_42,800|_저소음 바다축_48,000|중고_37,230","_세이야축_42,800|_저소음 바다축_48,000|중고_34,240","_세이야축_42,800|_저소음 바다축_48,000|중고_46,080","_세이야축_42,800|_저소음 바다축_48,000|중고_37,230","_세이야축_42,800|_저소음 바다축_48,000|중고_34,240"
63467021,AULA F87 Pro 기계식 라이트 올리비아 한글,"_저소음 바다축_47,000|_세이야축_41,800|중고_37,230","_저소음 바다축_47,000|_세이야축_41,800|중고_36,360","_저소음 바다축_48,000|_세이야축_42,800|중고_37,230","_저소음 바다축_48,000|_세이야축_42,800|중고_34,240","_저소음 바다축_48,000|_세이야축_42,800|중고_41,760","_저소음 바다축_48,000|_세이야축_42,800|중고_43,680","_저소음 바다축_48,000|_세이야축_42,800|중고_37,230",0,"_저소음 바다축_48,000|_세이야축_42,800|중고_38,940"
63467006,AULA F87 Pro 기계식 라이트 올리비아 한글,0,0,0,0,0,0,0,"_저소음 바다축_48,000|_세이야축_42,800|중고_46,080",0
122691617,AULA F87 Pro 유무선 기계식 블러쉬 핑크 한글,0,0,0,0,0,0,0,_저소음 로즈축_가격비교예정|_저소음 바다축_가격비교예정,0
122692862,AULA F87 Pro 유무선 기계식 블러쉬 핑크 한글,0,0,0,0,0,0,0,0,"_세이야축_66,990|_저소음 로즈축_72,990|"
59826155,AULA F87 Pro 유무선 기계식 올리비아 화이트 한글,"_저소음 피치축 V2_66,000|저소음 솜사탕축_66,000|황축 V3_62,000|_회목축 V4_61,000|중고_48,800","_저소음 피치축 V2_66,000|저소음 솜사탕축_66,000|황축 V3_61,000|_회목축 V4_61,000|중고_48,800",0,0,0,0,0,"저소음 솜사탕축_67,000|_저소음 피치축 V2_67,000|황축 V3_62,000|_회목축 V4_62,000|중고_53,940","저소음 솜사탕축_67,000|_저소음 피치축 V2_67,000|_황축 V3_62,000|회목축 V4_62,000"
59826344,AULA F87 Pro 유무선 기계식 올리비아 화이트 한글,0,0,"_저소음 피치축 V2_67,000|저소음 솜사탕축_67,000|황축 V3_62,000|_회목축 V4_62,000|중고_53,600","_저소음 피치축 V2_67,000|저소음 솜사탕축_67,000|황축 V3_62,000|_회목축 V4_62,000|중고_53,600","_저소음 피치축 V2_67,000|저소음 솜사탕축_67,000|황축 V3_62,000|_회목축 V4_62,000|중고_53,600","_저소음 피치축 V2_67,000|저소음 솜사탕축_67,000|황축 V3_62,000|_회목축 V4_62,000|중고_53,600","저소음 피치축 V2_67,000|저소음 솜사탕축_67,000|_황축 V3_62,000|_회목축 V4_62,000|중고_53,940",0,0
61437527,AULA F87 Pro 유무선 기계식 인디고 블랙 한글,"저소음 솜사탕축_66,000|_저소음 피치축 V2_66,000|_황축 V3_62,000|회목축 V4_61,000|중고_48,800","저소음 솜사탕축_66,000|_저소음 피치축 V2_66,000|_황축 V3_61,000|회목축 V4_61,000|중고_48,800","저소음 솜사탕축_67,000|_저소음 피치축 V2_67,000|_황축 V3_62,000|회목축 V4_62,000|중고_49,600","저소음 솜사탕축_67,000|_저소음 피치축 V2_67,000|_황축 V3_62,000|회목축 V4_62,000|중고_49,600","저소음 솜사탕축_67,000|_저소음 피치축 V2_67,000|_황축 V3_62,000|회목축 V4_62,000|중고_49,600","_저소음 솜사탕축_67,000|_저소음 피치축 V2_67,000|황축 V3_62,000|회목축 V4_62,000","저소음 솜사탕축_67,000|_저소음 피치축 V2_67,000|황축 V3_62,000|_회목축 V4_62,000|중고_56,420","저소음 솜사탕축_67,000|_저소음 피치축 V2_67,000|황축 V3_62,000|_회목축 V4_62,000|중고_49,600","저소음 솜사탕축_67,000|_저소음 피치축 V2_67,000|황축 V3_62,000|_회목축 V4_62,000|중고_49,600"
36706868,AULA F87 Pro 유무선 기계식 해외구매,"옵션선택구성_42,490|골드축_48,600|_그레이축_28,970|_옐로우축_43,900","옵션선택구성_42,490|골드축_48,600|_그레이축_28,970|_옐로우축_43,900","옵션선택구성_42,490|골드축_47,850|_그레이축_30,500|_옐로우축_43,900","옵션선택구성_42,490|골드축_47,040|_그레이축_30,500|_옐로우축_43,900","옵션선택구성_42,490|골드축_47,040|_그레이축_30,500|_옐로우축_43,900","옵션선택구성_44,490|골드축_47,850|_그레이축_30,500|_옐로우축_43,900","옵션선택구성_44,490|골드축_48,850|_그레이축_30,500|_옐로우축_43,900","옵션선택구성_44,490|골드축_48,850|_그레이축_30,500|_옐로우축_43,900","옵션선택구성_44,490|골드축_48,850|_그레이축_30,500|_옐로우축_43,900"
90642647,AULA F99 PRO 유무선 기계식,"67,950","67,950","67,950","67,950","67,950","67,950","67,950","67,950","67,950"
62176244,AULA F99 PRO 유무선 기계식 해외구매,"49,500","49,500","44,550","44,550","44,550","44,550","44,550","44,550","44,550"
63466343,AULA F99 기계식 다크 올리비아 한글,"_저소음 바다축_103,700|_중고_56,110","_저소음 바다축_103,700|_중고_56,110","_저소음 바다축_103,700|_중고_56,110","_저소음 바다축_103,700|_중고_56,110","저소음 바다축_103,700","저소음 바다축_103,700","저소음 바다축_103,700","저소음 바다축_103,700","저소음 바다축_103,700"
63466358,AULA F99 기계식 라이트 올리비아 한글,"세이야축_94,900","세이야축_94,900","세이야축_94,900","세이야축_94,900","세이야축_94,900","세이야축_94,900","세이야축_94,900","세이야축_94,900","세이야축_94,900"
58934972,AULA F99 유무선 기계식 올리비아 화이트 한글,"경해축_82,000|_황축 V3_72,000|_회목축 V4_72,000","경해축_72,000|_황축 V3_72,000|_회목축 V4_72,000","경해축_82,000|_황축 V3_72,000|_회목축 V4_72,000","경해축_82,000|_황축 V3_72,000|_회목축 V4_72,000|중고_57,600","경해축_82,000|_황축 V3_72,000|_회목축 V4_72,000|중고_57,600","경해축_82,000|_황축 V3_72,000|_회목축 V4_72,000|중고_57,600","경해축_82,000|_황축 V3_72,000|_회목축 V4_72,000|중고_57,600","경해축_82,000|_황축 V3_72,000|_회목축 V4_72,000|중고_57,600","경해축_82,000|_황축 V3_72,000|_회목축 V4_72,000|중고_57,600"
60145436,AULA F99 유무선 기계식 인디고 블랙 한글,"_저소음 피치축 V2_112,400|경해축_124,300|황축 V3_72,000|_회목축 V4_72,000|중고_56,800","_저소음 피치축 V2_112,400|경해축_124,300|황축 V3_72,000|_회목축 V4_72,000|중고_56,800",0,0,0,0,0,0,0
60145412,AULA F99 유무선 기계식 인디고 블랙 한글,0,0,"_저소음 피치축 V2_112,400|_경해축_124,300|황축 V3_72,000|회목축 V4_72,000|중고_57,600","_저소음 피치축 V2_112,400|경해축_124,300|황축 V3_72,000|_회목축 V4_72,000|중고_57,600","_저소음 피치축 V2_118,500|_경해축_124,300|황축 V3_72,000|회목축 V4_72,000|중고_57,600","_저소음 피치축 V2_118,500|_경해축_124,300|황축 V3_72,000|회목축 V4_72,000|중고_57,600","_저소음 피치축 V2_118,500|_경해축_124,300|황축 V3_72,000|회목축 V4_72,000|중고_57,600","_저소음 피치축 V2_118,500|_경해축_124,300|황축 V3_72,000|회목축 V4_72,000","_저소음 피치축 V2_118,500|황축 V3_72,000|_회목축 V4_72,000"
