Id,Name,2025-09-01 11:11:32,2025-09-02 10:58:18,2025-09-03 10:50:50,2025-09-04 10:51:19,2025-09-05 10:53:32,2025-09-06 10:50:04,2025-09-07 10:59:40,2025-09-08 10:59:20,2025-09-09 10:55:25,2025-09-10 10:52:04,2025-09-11 10:55:19,2025-09-12 10:50:23,2025-09-13 10:46:07,2025-09-14 10:58:36,2025-09-15 11:00:20
31411142,ASUS ROG SWIFT OLED PG49WCD,"2,189,000","2,189,000","2,189,000","2,189,000","2,189,000","2,189,000","2,189,000","2,189,000","2,189,000","2,189,000","2,189,000","2,189,000","2,189,000","2,189,000","2,189,000"
28536302,ASUS ROG SWIFT PG27AQN 360,"1,098,990","1,098,990","1,098,990","1,098,990","1,099,000","1,099,000","1,099,000","1,099,000","1,099,000","1,099,000",0,0,0,0,0
21484082,ASUS ROG SWIFT PG32UQ,"1,239,800","1,239,800","1,239,800","1,239,800","1,239,800","1,239,800","1,239,800","1,239,800","1,239,800","1,239,800","1,239,800","1,239,800","1,239,800","1,239,800","1,239,800"
15819947,ASUS ROG SWIFT PG32UQX UHD 4K HDR 1400,"4,087,000","4,087,000",0,0,0,0,0,"4,040,000","4,040,000",0,0,0,"4,090,000",0,0
28856474,ASUS ROG SWIFT PG42UQ OLED (해외구매),0,0,"2,096,890",0,"2,096,890","2,096,890","2,096,890","2,096,890",0,0,0,0,0,"2,096,900","2,096,900"
28536611,ASUS ROG SWIFT PRO PG248QP,"966,660","966,660","966,660","966,660","966,660","966,660","966,660","966,660","966,660","1,052,580","899,000","899,000","899,000","899,000","899,000"
21205289,ASUS TUF Gaming VG249Q1A,"218,990","218,990","218,990","218,990","218,990","218,990","218,990","218,990","218,990","218,990","218,990","218,990","218,990","218,990","218,990"
91114364,ASUS TUF Gaming VG249QE5A,"119,000","119,000","119,000","116,630","116,630","116,630","116,630","116,630","116,630","116,630","116,630","116,620","116,620","116,620","116,620"
78099992,ASUS TUF Gaming VG259Q3A,"299,000","299,000","299,000","299,000","250,700","250,700","250,700","250,700","250,700","250,700","250,700","250,700","250,700","250,700","250,700"
95522966,ASUS TUF Gaming VG259Q5A,"149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000"
11286561,ASUS TUF Gaming VG259QM,"310,590","310,520","313,500","313,500","313,500","313,500","313,500","313,500","313,500","313,500","313,500","313,490","313,490","313,490","312,000"
96710738,ASUS TUF Gaming VG259QMRL5A,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정
70253621,ASUS TUF Gaming VG279Q3R,"199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000"
95420624,ASUS TUF Gaming VG279Q5R,"169,000","169,000","169,000","165,850","165,850","165,850","165,850","165,850","165,850","169,000","169,000","169,000","169,000","169,000","169,000"
91114430,ASUS TUF Gaming VG279QE5A,"139,000","139,000","139,000","139,000","139,000","139,000","139,000","139,000","139,000","139,000","139,000","139,000","139,000","139,000","139,000"
19815290,ASUS TUF Gaming VG279QM 280 게이밍 대원씨티에스,"426,540","426,540","426,550","426,550","426,550","426,550","426,550","426,550","426,550","426,550","426,550","426,540","426,540","426,540","426,540"
96313982,ASUS TUF Gaming VG279QM5A,"269,000","269,000","269,000","269,000","268,960","268,940","268,930","268,920","268,910","268,900","268,880","268,870","268,840","268,820","268,800"
72675476,ASUS TUF Gaming VG27AQL3A,"269,000","269,000","269,000","269,000","269,000","269,000","269,000","269,000","269,000","269,000","269,000","269,000","269,000","269,000","269,000"
96984134,ASUS TUF Gaming VG27AQL5A,0,"309,000","309,000","359,000","359,000","359,000","359,000","359,000","359,000","359,000","359,000","359,000","309,000","309,000","309,000"
96984143,ASUS TUF Gaming VG27AQL5A (해외구매),0,"496,950","496,950","496,950","496,330","496,330","496,330","496,780","496,780","496,780","498,740","498,740","498,740","498,740","497,450"
21206708,ASUS TUF Gaming VG27AQML1A,"648,000","648,000","648,000","648,000","648,000","650,990","650,990","648,000","650,990","650,990","650,990","650,990","650,990","650,990","650,990"
13346822,ASUS TUF Gaming VG328H1B,"329,000","329,000","329,000","329,000","329,000","329,000","329,000","329,000","329,000","329,000","329,000","329,000","329,000","329,000","329,000"
96987545,ASUS TUF Gaming VG32VQM5B,0,0,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정
92890901,ASUS TUF Gaming VG34VQL3A 인텍앤컴퍼니,"269,000","269,000","269,000","269,000","269,000","269,000","269,000","269,000","479,000","479,000","479,000","479,000","479,000","479,000","479,000"
90160040,ASUS VA259HGA FHD IPS 120 아이케어 게이밍,"108,060","108,060","108,070","108,070","108,070","108,070","108,070","108,100","108,100","108,100","108,100","108,090","108,090","108,090","108,090"
3798402,ASUS VC279H-W 시력보호 슬림,"325,640","325,640","325,640","325,640","325,640","325,640","325,640","325,640","325,640","325,640","325,640","325,640","325,640","325,640","325,640"
54215309,ASUS VU249CFE-B,"169,000","169,000","169,000","169,000","169,000","169,000","169,000","169,000","169,000","169,000","169,000","169,000","169,000","169,000","169,000"
13346978,ASUS VY249HE,"116,990","116,990","116,990","116,990","116,990","116,990","116,990","116,990","116,990","116,990","116,990","116,990","116,990","116,990","116,990"
