Id,Name,2024-05-01 10:21:29,2024-05-02 10:15:55,2024-05-03 10:19:36,2024-05-04 10:16:11,2024-05-05 10:21:44,2024-05-06 10:18:10,2024-05-07 10:18:14,2024-05-08 10:05:27,2024-05-09 10:17:54,2024-05-10 10:18:37,2024-05-11 10:17:24,2024-05-12 10:23:41,2024-05-13 10:20:11,2024-05-14 10:18:40
10927923,ESSENCORE KLEVV CRAS C710 M.2 NVMe,"1TB_89원/1GB_88,990|512GB_102원/1GB_51,990|256GB_136원/1GB_34,690","1TB_89원/1GB_88,980|512GB_102원/1GB_51,990|256GB_129원/1GB_32,990","1TB_89원/1GB_88,970|512GB_102원/1GB_51,990|256GB_136원/1GB_34,690","1TB_89원/1GB_88,960|512GB_102원/1GB_51,990|256GB_136원/1GB_34,690","1TB_89원/1GB_88,950|512GB_102원/1GB_51,990|256GB_136원/1GB_34,690","1TB_89원/1GB_88,940|512GB_102원/1GB_51,990|256GB_136원/1GB_34,690","1TB_89원/1GB_88,930|512GB_102원/1GB_51,990|256GB_123원/1GB_31,370","1TB_89원/1GB_88,920|512GB_102원/1GB_51,990|256GB_136원/1GB_34,690","1TB_89원/1GB_89,000|512GB_102원/1GB_52,000|256GB_136원/1GB_34,690","1TB_89원/1GB_89,000|512GB_102원/1GB_52,000|256GB_129원/1GB_33,000","1TB_89원/1GB_89,000|512GB_102원/1GB_52,000|256GB_130원/1GB_33,210","1TB_89원/1GB_89,000|512GB_102원/1GB_52,000|256GB_130원/1GB_33,210","1TB_89원/1GB_89,000|512GB_102원/1GB_52,000|256GB_130원/1GB_33,210","1TB_89원/1GB_89,000|512GB_102원/1GB_52,000|256GB_136원/1GB_34,690"
19190567,ESSENCORE KLEVV CRAS C730 M.2 NVMe,"81원/1GB_2TB_162,040","81원/1GB_2TB_161,980","81원/1GB_2TB_162,000","79원/1GB_2TB_157,980","79원/1GB_2TB_157,880","79원/1GB_2TB_157,860","79원/1GB_2TB_157,800","79원/1GB_2TB_157,800","79원/1GB_2TB_157,990","79원/1GB_2TB_157,980","79원/1GB_2TB_158,000","79원/1GB_2TB_157,940","79원/1GB_2TB_157,860","79원/1GB_2TB_157,980"
28451345,ESSENCORE KLEVV CRAS C910 Lite M.2 NVMe,"116원/1GB_500GB_58,000","116원/1GB_500GB_58,000","116원/1GB_500GB_58,000","116원/1GB_500GB_58,000","116원/1GB_500GB_58,000","116원/1GB_500GB_58,000","116원/1GB_500GB_58,000",0,0,"116원/1GB_500GB_58,000","116원/1GB_500GB_58,000","116원/1GB_500GB_58,000","116원/1GB_500GB_58,000","116원/1GB_500GB_58,000"
20612159,ESSENCORE KLEVV CRAS C930 M.2 NVMe,"121원/1GB_1TB_121,000","121원/1GB_1TB_121,000","121원/1GB_1TB_121,000","121원/1GB_1TB_121,000","121원/1GB_1TB_121,000","121원/1GB_1TB_121,000","121원/1GB_1TB_121,000","121원/1GB_1TB_121,000",0,0,0,"121원/1GB_1TB_121,000","121원/1GB_1TB_121,000","2TB_100원/1GB_200,000|1TB_121원/1GB_121,000"
11211666,ESSENCORE KLEVV NEO N610,0,0,0,0,0,0,"1TB_110원/1GB_110,210|512GB_176원/1GB_90,000|256GB_225원/1GB_57,500","1TB_110원/1GB_110,210|512GB_176원/1GB_90,000|256GB_225원/1GB_57,500","1TB_110원/1GB_110,210|512GB_176원/1GB_90,000|256GB_225원/1GB_57,500","1TB_110원/1GB_110,210|512GB_176원/1GB_90,000|256GB_225원/1GB_57,500","1TB_110원/1GB_110,210|512GB_176원/1GB_90,000|256GB_225원/1GB_57,500","1TB_110원/1GB_110,210|512GB_176원/1GB_90,000|256GB_225원/1GB_57,500","1TB_110원/1GB_110,210|512GB_176원/1GB_90,000|256GB_225원/1GB_57,500",0
38345555,FANTOM VENOMX M.2 2230 NVMe 해외구매,"2TB_126원/1GB_251,800|1TB_104원/1GB_103,880","2TB_126원/1GB_251,800|1TB_104원/1GB_103,880","2TB_126원/1GB_251,800|1TB_104원/1GB_103,880","2TB_134원/1GB_268,910|1TB_104원/1GB_103,880","2TB_134원/1GB_268,910|1TB_103원/1GB_103,320","2TB_134원/1GB_268,910|1TB_103원/1GB_103,320","2TB_134원/1GB_268,910|1TB_121원/1GB_120,620","2TB_134원/1GB_268,910|1TB_121원/1GB_121,280","2TB_134원/1GB_268,910|1TB_121원/1GB_120,620","2TB_134원/1GB_268,910|1TB_122원/1GB_121,930","2TB_134원/1GB_268,910|1TB_122원/1GB_121,930","2TB_134원/1GB_268,910|1TB_122원/1GB_121,930","2TB_134원/1GB_268,910|1TB_122원/1GB_121,930",0
49386935,Fikwot FN501 Pro M.2 NVMe 해외구매,"2TB_105원/1TB_209,200|1TB_116원/1TB_115,950","2TB_107원/1TB_214,400|1TB_116원/1TB_115,850","2TB_107원/1TB_214,400|1TB_116원/1TB_115,790","2TB_107원/1TB_214,400|1TB_116원/1TB_115,770","2TB_107원/1TB_214,400|1TB_116원/1TB_115,650","2TB_107원/1TB_214,400|1TB_116원/1TB_115,550","2TB_107원/1TB_214,400|1TB_115원/1TB_115,470","2TB_107원/1TB_214,400|1TB_115원/1TB_115,460","2TB_107원/1TB_214,400|1TB_127원/1TB_126,690","2TB_107원/1TB_214,400|1TB_127원/1TB_126,690","2TB_107원/1TB_214,400|1TB_127원/1TB_126,690","2TB_107원/1TB_214,400|1TB_127원/1TB_126,690","2TB_107원/1TB_214,400|1TB_127원/1TB_126,690","2TB_107원/1TB_214,400|1TB_130원/1TB_130,270"
47842307,Fikwot FN955 M.2 NVMe 해외구매,"2TB_141원/1GB_282,090|1TB_108원/1GB_108,390","2TB_141원/1GB_282,020|1TB_100원/1GB_100,300","2TB_141원/1GB_281,930|1TB_108원/1GB_108,390","2TB_141원/1GB_281,850|1TB_108원/1GB_108,390","2TB_141원/1GB_281,830|1TB_108원/1GB_108,390","2TB_141원/1GB_281,750|1TB_108원/1GB_108,390","2TB_141원/1GB_281,680|1TB_108원/1GB_108,390","2TB_141원/1GB_281,660|1TB_98원/1GB_98,010","2TB_141원/1GB_281,550|1TB_108원/1GB_108,390","2TB_141원/1GB_281,450|1TB_108원/1GB_108,390","2TB_141원/1GB_281,360|1TB_108원/1GB_108,390","2TB_141원/1GB_281,290|1TB_104원/1GB_103,770","2TB_129원/1GB_257,650|1TB_104원/1GB_103,770","2TB_131원/1GB_262,480|1TB_108원/1GB_108,390"
35225798,GIGABYTE AORUS Gen4 5000E M.2 NVMe 피씨디렉트,"1TB_120원/1GB_119,500|500GB_165원/1GB_82,500","1TB_120원/1GB_119,500|500GB_165원/1GB_82,500","1TB_120원/1GB_119,500|500GB_165원/1GB_82,500","1TB_120원/1GB_119,500|500GB_165원/1GB_82,500","1TB_120원/1GB_119,500|500GB_165원/1GB_82,500","1TB_120원/1GB_119,500|500GB_165원/1GB_82,500","1TB_120원/1GB_119,500|500GB_165원/1GB_82,500","1TB_120원/1GB_119,500|500GB_165원/1GB_82,500","1TB_120원/1GB_119,500|500GB_165원/1GB_82,500","1TB_120원/1GB_119,500|500GB_165원/1GB_82,500","1TB_120원/1GB_119,500|500GB_165원/1GB_82,500","1TB_120원/1GB_119,500|500GB_165원/1GB_82,500","1TB_120원/1GB_119,500|500GB_165원/1GB_82,500","1TB_120원/1GB_119,500|500GB_165원/1GB_82,500"
19753616,GIGABYTE AORUS Gen4 7300 M.2 NVMe 제이씨현,"2TB_124원/1GB_248,990|1TB_149원/1GB_149,000","2TB_124원/1GB_248,990|1TB_149원/1GB_149,000","2TB_124원/1GB_248,990|1TB_149원/1GB_149,000","2TB_124원/1GB_248,990|1TB_149원/1GB_149,000","2TB_124원/1GB_248,990|1TB_149원/1GB_149,000","2TB_124원/1GB_248,990|1TB_149원/1GB_149,000","2TB_124원/1GB_248,990|1TB_149원/1GB_149,000","2TB_124원/1GB_248,990|1TB_149원/1GB_149,000","2TB_124원/1GB_248,990|1TB_149원/1GB_149,000","2TB_124원/1GB_248,990|1TB_149원/1GB_149,000","2TB_124원/1GB_248,990|1TB_149원/1GB_149,000","2TB_124원/1GB_248,990|1TB_149원/1GB_149,000","2TB_124원/1GB_248,990|1TB_149원/1GB_149,000","2TB_124원/1GB_248,990|1TB_149원/1GB_149,000"
