Id,Name,2026-09-01 13:53:58,2026-09-02 13:19:09,2026-09-03 13:11:27,2026-09-04 13:22:00,2026-09-05 13:12:29,2026-09-06 13:22:10,2026-09-07 13:21:49,2026-09-08 13:25:33,2026-09-09 13:24:32,2026-09-11 13:20:00,2026-09-13 13:18:48,2026-09-14 13:25:22,2026-09-15 13:25:23,2026-09-16 13:24:45,2026-09-17 13:27:49,2026-09-18 13:12:01,2026-09-19 13:09:51
106755434,"APPLE 맥북프로14 M5프로 15코어 CPU, 16코어 GPU 블랙","_램24GB, SSD 1TB_3,724,130|램24GB, SSD 2TB_4,233,000|_램48GB, SSD 1TB_4,744,700","_램24GB, SSD 1TB_3,724,050|램24GB, SSD 2TB_4,090,000|_램48GB, SSD 1TB_4,714,700","_램24GB, SSD 1TB_3,722,050|램24GB, SSD 2TB_4,090,000|_램48GB, SSD 1TB_4,724,700","_램24GB, SSD 1TB_3,722,000|램24GB, SSD 2TB_3,947,300|_램48GB, SSD 1TB_4,724,700","_램24GB, SSD 1TB_3,721,880|램24GB, SSD 2TB_4,090,000|_램48GB, SSD 1TB_4,724,700","_램24GB, SSD 1TB_3,721,760|램24GB, SSD 2TB_3,528,000|_램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,721,640|램24GB, SSD 2TB_4,599,000|_램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,721,530|램24GB, SSD 2TB_4,599,000|_램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,721,450|_램24GB, SSD 2TB_4,599,000|램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,721,280|램24GB, SSD 2TB_4,599,000|_램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,721,040|램24GB, SSD 2TB_4,599,000|_램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,720,920|램24GB, SSD 2TB_4,233,600|_램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,720,810|램24GB, SSD 2TB_4,599,000|_램48GB, SSD 1TB_4,769,000","_램24GB, SSD 1TB_3,720,730|램24GB, SSD 2TB_4,599,000|_램48GB, SSD 1TB_4,817,000","_램24GB, SSD 1TB_3,720,680|램24GB, SSD 2TB_4,599,000|_램48GB, SSD 1TB_4,817,000","_램24GB, SSD 1TB_3,720,560|램24GB, SSD 2TB_4,599,000|_램48GB, SSD 1TB_4,817,000","_램24GB, SSD 1TB_3,720,440|램24GB, SSD 2TB_4,599,000|_램48GB, SSD 1TB_4,812,900"
106755515,"APPLE 맥북프로14 M5프로 15코어 CPU, 16코어 GPU 실버","_램24GB, SSD 1TB_3,724,590||_램48GB, SSD 1TB_4,744,700","_램24GB, SSD 1TB_3,724,510||_램48GB, SSD 1TB_4,714,700","_램24GB, SSD 1TB_3,724,460||_램48GB, SSD 1TB_4,724,700","_램24GB, SSD 1TB_3,724,380||_램48GB, SSD 1TB_4,724,700","_램24GB, SSD 1TB_3,724,260||_램48GB, SSD 1TB_4,724,700","_램24GB, SSD 1TB_3,724,140||_램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,724,020||_램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,723,900||_램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,723,830||_램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,880,930||_램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,734,610||_램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,734,560||_램48GB, SSD 1TB_4,754,700","_램24GB, SSD 1TB_3,734,440||_램48GB, SSD 1TB_4,769,000","_램24GB, SSD 1TB_3,734,320||_램48GB, SSD 1TB_4,817,000","_램24GB, SSD 1TB_3,734,200||_램48GB, SSD 1TB_4,817,000",0,0
122694622,"APPLE 맥북프로14 M5프로 15코어 CPU, 16코어 GPU 실버 영문","램24GB, SSD 1TB_3,724,700","램24GB, SSD 1TB_3,694,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106757486,"APPLE 맥북프로14 M5프로 18코어 CPU, 20코어 GPU 블랙",0,0,0,"_램24GB, SSD 2TB_4,335,300|_램48GB, SSD 2TB_5,355,300","_램24GB, SSD 2TB_4,279,000|_램48GB, SSD 2TB_5,510,000","_램24GB, SSD 2TB_3,843,000|_램48GB, SSD 2TB_5,355,300",0,"램24GB, SSD 2TB_4,881,980","램24GB, SSD 2TB_4,881,980",0,0,0,0,0,"_램24GB, SSD 2TB_4,924,990|_램48GB, SSD 2TB_5,631,600",0,"램24GB, SSD 2TB_4,999,000"
70251569,"APPLE 맥북프로16 M4맥스 14코어 CPU, 32코어 GPU 블랙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"램36GB, SSD 1TB_4,398,890"
122653467,"APPLE 맥북프로16 M5맥스 18코어 CPU, 32코어 GPU 블랙 영문",0,0,0,0,0,0,0,"램36GB, SSD 2TB_6,151,200","램36GB, SSD 2TB_6,965,700","램36GB, SSD 2TB_6,965,700",0,0,0,0,0,0,0
106757555,"APPLE 맥북프로16 M5맥스 18코어 CPU, 40코어 GPU 블랙",0,0,0,0,0,0,0,0,0,0,0,0,0,"_램48GB, SSD 2TB_7,539,990|_램64GB, SSD 2TB_8,220,000","_램48GB, SSD 2TB_7,539,980|_램64GB, SSD 2TB_8,220,000","_램48GB, SSD 2TB_7,539,970|_램64GB, SSD 2TB_8,220,000","_램48GB, SSD 2TB_7,539,960|_램64GB, SSD 2TB_8,220,000"
106756001,"APPLE 맥북프로16 M5프로 18코어 CPU, 20코어 GPU 블랙",0,0,"_램24GB, SSD 1TB_4,620,690|_램48GB, SSD 1TB_5,470,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,620,690|_램48GB, SSD 1TB_5,450,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,620,690|_램48GB, SSD 1TB_5,450,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,620,690|_램48GB, SSD 1TB_5,500,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,620,690|_램48GB, SSD 1TB_5,500,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,620,690|_램48GB, SSD 1TB_5,340,000|램48GB, SSD 2TB_6,416,770",0,"_램24GB, SSD 1TB_4,620,690|_램48GB, SSD 1TB_5,240,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,621,980|_램48GB, SSD 1TB_5,340,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,621,980|_램48GB, SSD 1TB_5,340,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,621,980|_램48GB, SSD 1TB_5,340,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,621,980|_램48GB, SSD 1TB_5,340,000|램48GB, SSD 2TB_6,416,770",0,0,0
106756094,"APPLE 맥북프로16 M5프로 18코어 CPU, 20코어 GPU 실버",0,0,"_램24GB, SSD 1TB_4,491,000|_램48GB, SSD 1TB_5,409,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,621,980|_램48GB, SSD 1TB_5,410,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,621,980|_램48GB, SSD 1TB_5,410,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,621,980|_램48GB, SSD 1TB_5,410,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,621,980|_램48GB, SSD 1TB_5,410,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,621,980|_램48GB, SSD 1TB_5,410,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,621,980|_램48GB, SSD 1TB_5,350,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,621,980|_램48GB, SSD 1TB_5,350,000|램48GB, SSD 2TB_6,416,770",0,0,"_램24GB, SSD 1TB_4,621,980|_램48GB, SSD 1TB_5,380,000|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,440,690|_램48GB, SSD 1TB_5,566,760|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,440,690|_램48GB, SSD 1TB_5,566,770|램48GB, SSD 2TB_6,416,770","_램24GB, SSD 1TB_4,621,980|_램48GB, SSD 1TB_5,566,770|램48GB, SSD 2TB_6,416,770",0
122653538,"APPLE 맥북프로16 M5프로 18코어 CPU, 20코어 GPU 실버 영문",0,0,0,0,0,0,0,0,0,0,0,0,"램48GB, SSD 1TB_5,566,770",0,0,0,0
