Id,Name,2026-07-01 13:25:55,2026-07-02 13:07:26,2026-07-03 12:50:59,2026-07-04 12:44:16,2026-07-05 13:02:56,2026-07-06 13:09:46,2026-07-07 13:00:25,2026-07-08 12:27:16,2026-07-09 12:52:40,2026-07-10 12:55:24,2026-07-11 12:22:24,2026-07-12 12:34:10,2026-07-13 12:36:51,2026-07-14 12:00:06
97227119,SuperFlower SF-1300F14GE LEADEX III GOLD UP ATX3.1 화이트,0,"236,590","236,590","236,590","236,590","236,590","236,590","236,590","236,590","236,590","236,590","235,850","235,850","235,840"
20275859,SuperFlower SF-1300F14XG LEADEX VII GOLD ATX3.1,0,"256,070","256,070","256,070","256,070","256,070","256,070","256,070","256,060","256,060","256,060","251,500","256,060","256,060"
20615300,SuperFlower SF-1300F14XG LEADEX VII GOLD 화이트 ATX3.1,0,"265,700","265,700","265,700","265,700","265,700","265,700","265,700","265,700","265,700","265,700","265,700","265,700","265,700"
67621013,SuperFlower SF-1600F14HT LEADEX TITANIUM ATX3.1,0,"912,500","912,500","912,500","912,500","912,500","912,500","912,500","912,500","912,500","912,500","912,500","912,500","912,500"
101544143,SuperFlower SF-1700F14HT LEADEX ETA티타늄 ATX3.1,0,"722,680","722,680","722,680","722,680","722,680","722,680","722,680","722,680","722,680","722,680","719,140","719,140","719,130"
3353742,SuperFlower SF-2000F14HP LEADEX PLATINUM,0,"649,000","649,000","649,000","649,000","649,000","649,000","649,000","649,000","649,000","649,000","649,000","649,000","649,000"
122616922,SuperFlower SF-2200F14HP LEADEX TITANIUM ATX3.1,"715,000","728,690","728,690","728,690","728,690","728,690","728,690","728,690","728,690","728,690","728,690","728,690","728,690","728,690"
91562072,SuperFlower SF-2800F14HP LEADEX TITANIUM ATX3.1,0,"984,000","984,000","984,000","984,000","984,000","984,000","984,000","984,000","984,000","984,000","984,000","984,000","984,000"
7179223,SuperFlower SF-600R12ST MEGA 80PLUS스탠다드 230V EU,0,"122,180","122,180","122,180","122,180","122,180","122,180","122,180","122,180","122,180","122,180","122,180","122,180","122,180"
96707108,SuperFlower SF-650Z12DB Zillion DB ETA실버 ATX3.1,0,"66,920","66,920","66,920","66,920","66,920","66,920","66,920","66,910","66,910","66,910","66,680","66,680","66,930"
