Id,Name,2020-07-06 17:23:10,2020-07-06 19:38:44,2020-07-07 09:17:01,2020-07-07 10:56:10,2020-07-07 11:46:13,2020-07-07 12:18:40,2020-07-08 08:48:47,2020-07-08 11:16:27,2020-07-08 12:06:43,2020-07-09 08:54:12,2020-07-10 09:00:14,2020-07-10 16:54:38,2020-07-11 08:46:27,2020-07-11 09:16:14,2020-07-11 09:47:45,2020-07-11 10:18:31,2020-07-11 10:35:09,2020-07-11 12:15:09,2020-07-11 21:53:03,2020-07-12 09:33:14,2020-07-13 09:32:57,2020-07-14 09:32:20,2020-07-15 09:32:37,2020-07-16 09:32:30,2020-07-17 09:32:49,2020-07-18 09:32:37,2020-07-19 09:34:47,2020-07-20 09:33:56,2020-07-21 09:33:26,2020-07-22 09:33:16,2020-07-23 09:33:34,2020-07-24 09:34:13,2020-07-25 09:34:33,2020-07-26 09:35:42,2020-07-27 09:35:09,2020-07-28 09:34:45,2020-07-29 09:33:47,2020-07-30 09:35:06,2020-07-31 09:36:01
11405337,인텔 코어i3-10세대 10100 (코멧레이크S),"139,300","139,300","139,300","139,300","139,300","139,300","139,300","140,300","140,300","143,000","143,000","143,000","143,000",0,0,0,0,"143,000","143,000","143,000","143,000","145,000","145,000","145,000","145,000","151,000","151,000","151,000","151,000","151,000","151,000","150,900","150,900","150,900","150,900","150,240","150,000","148,400","147,500"
11480511,인텔 코어i3-10세대 10100 (코멧레이크S),0,0,0,0,0,0,0,"140,300","140,300","143,000","143,000","143,000","143,000","143,000","143,000","143,000","143,000","143,000","143,000","143,000","143,000","145,000","145,000","145,000","145,000","151,000","151,000","151,000","151,000","151,000","151,000","150,900","150,900","150,900","150,900","150,240","150,000","148,400","147,500"
11772994,인텔 코어i3-10세대 10300 (코멧레이크S),0,0,0,0,0,0,0,0,0,0,0,"209,580","209,380","209,380","209,380","209,380","209,380","209,380","209,380","209,380","209,380","200,000","200,000","190,500","189,000","189,000","189,000","189,000","189,000","189,000","189,000","189,000","189,000","189,000","189,000","189,000","189,000","187,000","187,000"
11772943,인텔 코어i3-10세대 10300 (코멧레이크S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"209,380","209,380","200,000","200,000","190,500","189,000","189,000","189,000","189,000","189,000","189,000","189,000","189,000","189,000","189,000","189,000","189,000","189,000","187,000","187,000"
11773189,인텔 코어i3-10세대 10320 (코멧레이크S),0,0,0,0,0,0,0,0,0,0,0,"223,750","223,550","223,550","223,550","223,550","223,550","223,550","223,550","223,550","223,550","223,550","223,550","223,550","223,740","223,740","223,740","223,740","223,740","223,740","221,370","221,360","221,360","221,360","221,360","221,360","221,360","221,360","221,360"
11773117,인텔 코어i3-10세대 10320 (코멧레이크S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"223,550",0,"223,550","223,550","223,550","223,740","223,740","223,740","223,740","223,740","223,740","221,370","221,360","221,360","221,360","221,360","221,360","221,360","221,360","221,360"
11773126,인텔 코어i3-10세대 10320 (코멧레이크S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4148188,인텔 코어i3-1세대 540 (클락데일),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4147647,인텔 코어i3-2세대 2100 (샌디브릿지),0,0,0,0,0,0,0,"7,020","7,020","7,020","7,500","7,490","7,400",0,0,0,0,"7,280","7,260","7,220","7,040","6,890","7,460","7,280","7,130","7,030","6,940","6,930","7,500","7,500","7,500","7,500","7,430","7,410",0,0,0,0,0
4144570,인텔 코어i3-2세대 2120 (샌디브릿지),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,120","7,030"
4145605,인텔 코어i3-3세대 3220 (아이비브릿지),0,0,0,0,0,0,0,"55,850","55,850","55,850","55,850","55,850","55,850",0,0,0,0,"55,850","55,850","55,850","55,850","55,850","55,850","55,850","55,850","55,850","55,850","55,850","55,850","55,850","55,850","55,850","17,500","17,500","17,500","17,500","17,500","17,500","17,500"
1783681,인텔 코어i3-3세대 3240 (아이비브릿지),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,000","11,790","11,610","11,460","11,360",0,0,0,0,0,0,0,0,0,"11,900","11,780","11,660","11,560"
4197698,인텔 코어i3-4세대 4130 (하스웰),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,210","28,600",0,0,0,0,0,0,0,0,0
4954420,인텔 코어i3-4세대 4150 (하스웰 리프레시),0,0,0,0,0,0,0,0,0,0,0,0,"28,500",0,0,0,0,"28,340","28,310","28,260","28,020","30,700","30,700","30,700",0,0,0,0,0,0,0,0,0,0,0,0,"28,420","28,300","28,200"
5678315,인텔 코어i3-4세대 4160 (하스웰 리프레시),0,0,0,0,0,0,0,"31,890","31,890","31,890","31,830","31,830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,900","31,900","31,900","31,900","31,900","31,900",0,"31,900","31,900",0
6112498,인텔 코어i3-4세대 4170 (하스웰 리프레시),0,0,0,0,0,0,0,"34,870","34,870","34,680","33,960","33,960","33,950",0,0,0,0,"33,790","33,760","33,710","33,470","33,270","33,030","32,870","32,690","32,590","32,580","32,570","34,690","34,590","34,550","34,530","34,430","34,340","34,230","34,180","34,180","34,180","34,180"
4197696,인텔 코어i3-6세대 6100 (스카이레이크),0,0,0,0,0,0,0,"76,510","76,510","76,160","75,810","75,670","75,460",0,0,0,0,"75,180","75,120","75,040","74,620","74,270","74,070","73,780","73,490","73,370","73,250","73,120","73,010","73,930","76,730","76,650","76,530","76,420","76,300","76,180","76,080","75,990","75,890"
4820023,인텔 코어i3-7세대 7100 (카비레이크),"173,000","173,000","173,000","173,000","173,000","173,000","173,000","173,000","173,000","173,000","173,000","173,000","173,000",0,0,0,0,"172,800","172,790","172,580","172,370","172,160","171,110","170,280","170,420","170,400","170,370","170,360","170,340","170,320","170,250","170,240","170,140","170,090","170,070","170,050","170,000","169,900","173,000"
5530456,인텔 코어i3-8세대 8100 (커피레이크),"140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000",0,0,0,0,"140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000"
5530687,인텔 코어i3-8세대 8350K (커피레이크),0,0,"193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800",0,0,0,0,"193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800","193,800"
9790773,인텔 코어i3-9세대 9100 (커피레이크-R),"133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000",0,0,0,0,"133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","140,000","140,000","140,000","133,000","133,000","133,000","133,000","140,000","140,000","140,000"
11084403,인텔 코어i3-9세대 9100 (커피레이크-R),0,0,0,0,0,0,0,"133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","133,000","140,000","140,000","140,000","133,000","133,000","133,000","133,000","140,000","140,000","140,000"
7914736,인텔 코어i3-9세대 9100F (커피레이크-R),"82,000","82,000","82,000","82,000","82,000","82,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000",0,0,0,0,"88,000","88,000","88,000","88,000","88,000","88,000","88,000","82,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000"
11308551,인텔 코어i5-10세대 10400 (코멧레이크S),"204,200","204,200","204,200","204,200","204,200","204,200","204,400","204,400","204,400","211,000","211,000","211,000","211,000",0,0,0,0,"211,000","211,000","211,000","212,000","218,000","219,000","219,000","218,600","218,500","218,300","218,100","217,400","216,500","214,510","214,200","212,500","212,400","212,200","209,900","207,800","206,600","205,100"
11480010,인텔 코어i5-10세대 10400 (코멧레이크S),0,0,0,0,0,0,0,"204,400","204,400","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","212,000","218,000","219,000","219,000","218,600","218,500","218,300","218,100","217,400","216,500",0,0,0,0,0,0,0,0,0
11866507,인텔 코어i5-10세대 10400 (코멧레이크S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"214,510","214,200","212,500","212,400","212,200","209,900","207,800","206,600","205,100"
11489973,인텔 코어i5-10세대 10400F (코멧레이크S),"216,300","216,300","216,300","216,300","216,300","216,300","216,000","216,000","216,000","233,130","216,300","216,300","216,300",0,0,0,0,"237,000","237,000","237,000","237,000","236,910","236,910","236,910","236,910","236,910","236,910","236,910","247,210","247,210","237,980","225,950","225,950","225,950","225,950","225,950","220,290","220,160","220,040"
11490309,인텔 코어i5-10세대 10400F (코멧레이크S),0,0,0,0,0,0,0,"216,000","216,000","233,130","216,300","216,300","216,300","216,300","216,300","216,300","216,300","237,000","237,000","237,000","237,000","236,910","236,910","236,910","236,910","236,910","236,910","236,910","247,210","247,210","237,980","225,950","225,950","225,950","225,950","225,950","220,290","220,160","220,040"
11490279,인텔 코어i5-10세대 10400F (코멧레이크S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11405430,인텔 코어i5-10세대 10500 (코멧레이크S),"235,800","235,800","235,800","235,800","235,800","235,800","235,300","235,200","235,200","234,900","234,600","234,500","234,500",0,0,0,0,"234,200","234,200","234,200","233,700","233,400","232,390","232,000","231,700","231,400","231,200","231,100","231,000","231,000","231,000","231,000","231,000","231,000","231,000","211,020","231,000","231,000","231,000"
11480766,인텔 코어i5-10세대 10500 (코멧레이크S),0,0,0,0,0,0,0,"235,200","235,200","234,900","234,600","234,500","234,500","234,200","234,200","234,200","234,200","234,200","234,200","234,200","233,700","233,400","232,390","232,000","231,700","231,400","231,200","231,100","231,000","231,000","231,000","231,000","231,000","231,000","231,000","211,020","231,000","231,000","231,000"
11405469,인텔 코어i5-10세대 10600 (코멧레이크S),"254,900","254,900","254,900","260,000","260,000","260,000","273,200","273,200","273,200","277,000","277,000","277,000","277,000",0,0,0,0,"277,000","277,000","277,000","277,000","277,000","277,000","277,000","277,000","277,000","277,000","290,000","290,000","299,680","290,000","299,700","299,420","299,300","299,170","319,000","300,630","274,700","273,100"
